OrderID,OrderDate,CustomerID,ProductID,Quantity,ProductName,Category,UnitCost,UnitPrice,Region,DiscountPct,Revenue,DiscountAmount,NetRevenue,Cost,Profit,ProfitMarginPct,OrderStatus,DeliveryDays,OnTime,Returned
50001,2025-06-20,1007,2015,9,Cheese 500g,Dairy,55,84.99,KwaZulu-Natal,0.15,764.91,114.73649999999999,650.1735,495,155.1735,23.86647564073282,Completed,4.0,No,No
50002,2026-06-25,1029,2011,5,Potato Chips,Snacks,12,24.99,Eastern Cape,0.0,124.94999999999999,0.0,124.94999999999999,60,64.94999999999999,51.980792316926774,Completed,6.0,No,Yes
50003,2025-02-05,1008,2010,10,Orange Juice,Beverages,25,44.99,KwaZulu-Natal,0.15,449.90000000000003,67.485,382.415,250,132.41500000000002,34.62599531922127,Completed,4.0,No,No
50004,2026-06-09,1001,2003,5,Rice 10kg,Groceries,120,179.99,Eastern Cape,0.05,899.95,44.9975,854.9525000000001,600,254.9525000000001,29.820662551428306,Cancelled,1.0,Yes,Yes
50005,2025-06-09,1003,2014,2,Toilet Paper,Household,70,109.99,KwaZulu-Natal,0.05,219.98,10.999,208.981,140,68.981,33.008263909159204,Completed,3.0,Yes,No
50006,2025-08-31,1024,2016,5,Chicken 2kg,Fresh Produce,85,129.99,Gauteng,0.05,649.95,32.4975,617.4525000000001,425,192.4525000000001,31.16879436069982,Pending,1.0,Yes,No
50007,2025-03-27,1023,2010,3,Orange Juice,Beverages,25,44.99,Eastern Cape,0.08,134.97,10.797600000000001,124.1724,75,49.172399999999996,39.60010437101965,Completed,5.0,No,Yes
50008,2025-01-28,1008,2010,7,Orange Juice,Beverages,25,44.99,KwaZulu-Natal,0.08,314.93,25.1944,289.7356,175,114.73559999999998,39.60010437101964,Completed,2.0,Yes,No
50009,2025-12-06,1047,2012,10,Dishwashing Liquid,Cleaning,45,69.99,Western Cape,0.15,699.9,104.985,594.915,450,144.91499999999996,24.358942033735907,Pending,4.0,No,No
50010,2025-11-27,1037,2009,5,Breakfast Cereal,Groceries,55,89.99,KwaZulu-Natal,0.08,449.95,35.996,413.954,275,138.954,33.56749783792402,Completed,5.0,No,Yes
50011,2026-05-21,1003,2001,8,White Bread,Bakery,10,18.99,KwaZulu-Natal,0.15,151.92,22.787999999999997,129.132,80,49.132000000000005,38.04788898181706,Completed,3.0,Yes,No
50012,2025-12-14,1033,2005,1,Laundry Powder,Cleaning,100,145.0,Eastern Cape,0.03,145.0,4.35,140.65,100,40.650000000000006,28.901528617134737,Cancelled,2.0,Yes,No
50013,2026-04-18,1028,2020,3,Microwave Oven,Electronics,1200,1799.99,Western Cape,0.1,5399.97,539.9970000000001,4859.973,3600,1259.973,25.925514401005934,Completed,1.0,Yes,No
50014,2025-08-19,1047,2008,3,Instant Coffee,Beverages,90,139.99,Western Cape,0.08,419.97,33.5976,386.3724,270,116.37240000000003,30.11923211906441,Completed,2.0,Yes,No
50015,2025-07-09,1008,2011,9,Potato Chips,Snacks,12,24.99,KwaZulu-Natal,0.05,224.91,11.2455,213.6645,108,105.6645,49.45346559676502,Pending,4.0,No,No
50016,2025-08-13,1034,2012,5,Dishwashing Liquid,Cleaning,45,69.99,Gauteng,0.03,349.95,10.4985,339.4515,225,114.45150000000001,33.71659868935622,Completed,3.0,Yes,No
50017,2026-01-20,1035,2001,12,White Bread,Bakery,10,18.99,KwaZulu-Natal,0.15,227.88,34.181999999999995,193.698,120,73.69800000000001,38.04788898181706,Completed,2.0,Yes,Yes
50018,2026-01-12,1032,2020,9,Microwave Oven,Electronics,1200,1799.99,Eastern Cape,,16199.91,2429.9865,13769.9235,10800,2969.923500000001,21.568191718712168,Completed,4.0,No,No
50019,2025-10-10,1024,2011,9,Potato Chips,Snacks,12,24.99,Gauteng,0.05,224.91,11.2455,213.6645,108,105.6645,49.45346559676502,Completed,3.0,Yes,No
50020,2025-09-16,1014,2005,1,Laundry Powder,Cleaning,100,145.0,Western Cape,0.03,145.0,4.35,140.65,100,40.650000000000006,28.901528617134737,Pending,2.0,Yes,No
50021,2025-12-25,1032,2015,2,Cheese 500g,Dairy,55,84.99,Eastern Cape,0.0,169.98,0.0,169.98,110,59.97999999999999,35.286504294622894,Completed,2.0,Yes,No
50022,2026-04-01,1046,2005,5,Laundry Powder,Cleaning,100,145.0,Gauteng,0.0,725.0,0.0,725.0,500,225.0,31.03448275862069,Completed,3.0,Yes,No
50023,2026-02-15,1043,2012,4,Dishwashing Liquid,Cleaning,45,69.99,Eastern Cape,0.03,279.96,8.3988,271.5612,180,91.56119999999999,33.71659868935621,Cancelled,5.0,No,No
50024,2025-11-14,1016,2005,10,Laundry Powder,Cleaning,100,145.0,Western Cape,0.05,1450.0,72.5,1377.5,1000,377.5,27.404718693284934,Completed,1.0,Yes,No
